Last Name,First Name,Second Contestant Last Name,Second Contestant First Name,Season,Days Participating,Medically Evacuated,Average Temperature of Hometown (based on September) °c,Average Temperature of Show (based on September) °c,Knife,Multi-Tool,Sharpening Stone,Duct Tape/Electrical Tape,Shovel,Sewing Kit,Carabiner,LED Flashlight,Ice Spikes,Axe,Saw,Hatchet,"Auger, Scotch Eyed",Beef Jerky,Dried snack mix,Biltong,Hardtack Biscuits,Chocolate,Pemmican,Emergency Rations,Trail Mix,Flour,Salt,Rice/Sugar/Salt,Pot,Frying Pan,Flint and Steel/Ferro Rod,Canteen,Bear Canister,Bowl,Spoon,Lighter,Bivvy Bag,Hammock,Sleeping Pad,Sleeping Bag,Paracord,Tarp,Rope,Fishing Line + Hooks,Wood Bow and Arrows,Trapping Wire,Gauge Gill Net,Net Foraging Bag,Slingshot,Soap Bar,Comb,Towel,Toothpaste,Floss,Shower Soap,Razor
Nessia,Dave,null,null,5,36,No,20,9,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Bosdell,Jesse,null,null,5,24,Yes,14,9,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Larson,Sam,null,null,5,60,No,19,9,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Double,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Champagne,Randy,null,null,5,35,No,17,9,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Apelian,Nicole,null,null,5,9,Yes,18,9,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Fairchild,Carleigh,null,null,5,5,Yes,13,9,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Ahart,Britt,null,null,5,56,No,17,9,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Whipple,Brooke,null,null,5,28,No,6,9,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Backus,Tim,null,null,6,4,Yes,22,3,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Donnelly,Nathan,null,null,6,72,No,14,3,Double,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
